,broadcasts_num,creation_year,followers,following,highlights_num,in_partnership,language,mature,name,teams,views,type
378,29,2015,300267,312,18,True,en,False,stormen,2,8586207,person
379,84,2017,300180,495,137,True,en,True,spacelyon,1,2007823,person
380,59,2012,300148,95,7,True,en,True,yelo,1,2987722,person
381,26,2011,300032,67,37,True,en,True,sips_,1,8287185,person
382,68,2011,299219,123,23,True,en,True,dexbonus,3,13647841,person
383,54,2014,299009,62,1,True,fr,False,skyyart,0,4517805,person
384,40,2016,298933,16,15,True,en,False,llstylez,0,6593638,person
385,256,2012,298660,2,10,True,en,False,riotgames2,2,29600827,channel
386,857,2012,298084,37,44,True,en,True,ducksauce,0,22703834,person
387,51,2010,297845,214,796,True,en,False,adrive,1,8336384,person
388,47,2012,297362,414,103,True,en,True,hexy,3,12294767,person
389,56,2013,296098,27,1388,True,ru,False,cartmanzbs,1,36300605,person
390,27,2015,123757,134,0,True,en,False,shadbasemurdertv,0,535265377,person
391,97,2015,163970,0,276,True,en,False,dotamajor,1,125130140,channel
392,2,2009,39576,470,1543,True,en,True,destructoid,0,110913135,person
393,3128,2012,204923,28,165,True,de,False,taketv,2,110151783,channel
394,895,2014,191773,7,1864,True,en,False,dotastarladder_en,6,103370130,channel
395,1339,2010,183291,23,965,True,en,False,leveluplive,7,100886809,person
396,1355,2011,33694,17,0,True,en,False,ignproleague,2,100269547,channel
397,1728,2013,121263,5,1505,True,en,False,joindotared,5,99133818,channel
398,2108,2010,257440,26,813,True,en,False,teamsp00ky,10,88822129,person
399,345,2013,140312,6,580,True,ru,False,igromania,0,86141944,channel
400,89,2010,285944,45,3615,True,zh,False,godjj,1,81647414,person
401,35,2012,68605,361,63,True,en,False,vaporadark,1,78147923,person
402,1710,2012,234381,14,1287,True,en,False,esl_sc2,8,75588849,channel
403,767,2011,245374,28,2482,True,en,False,magic,0,75606963,channel
404,573,2013,204748,6,628,True,en,False,dreamleague,4,74243680,channel
405,1138,2008,285735,69,205,True,en,False,roblox,0,67907666,channel
406,3,2012,199884,8,272,True,en,True,jakthaonewithlife,1,63718382,person
407,74,2015,167800,0,319,True,ru,False,dotamajorru,1,63634407,channel
408,51,2012,174400,25,133,True,ru,False,aces_tv,0,63499774,person
409,65,2012,219901,54,10,True,es,False,jaidefinichon,0,63986452,person
410,132,2015,210706,77,2999,True,fr,False,jvtv,0,63114418,person
411,643,2011,31332,0,39,True,en,False,ipllol,2,60964813,channel
412,950,2011,149293,5,56,True,en,False,scgtour,1,60747793,channel
413,1129,2009,37707,23,2503,True,en,False,honcast,1,58246557,person
414,83,2011,293212,73,19,True,zh,False,blusewilly_retry,0,58684710,person
415,91,2013,234791,77,2554,True,zh,False,xargon0731,0,53428581,person
416,160,2012,60889,2,314,True,en,False,tsmtournaments,1,50515903,channel
417,718,2009,144732,29,28,True,en,False,gamespot,1,50055973,channel
418,1428,2013,168582,0,828,True,en,False,gsl,0,49907013,channel
419,133,2008,54887,169,26977,True,en,False,fourplayerpodcast,0,49501517,person
